"idNazione","name_it","name_en"
1,Italia,Italy
2,Russia,Russia
3,Germania,Germany
4,Francia,France
5,Spagna,Spain
6,Svizzera,Switzerland
7,Inghilterra,England
8,Grecia,Greece
9,Polonia,Poland
10,Principato di Monaco,Monaco
11,Cipro,Cipro
12,Romania,Romania
13,Irlanda,Ireland
14,Ungheria,Hungary
15,Guatemala,Guatemala
16,Lituania,Lithuania
17,Cina,China
18,South Corea,South Corea
19,"Singapore","Singapore"
20,Brasile,Brazil
21,Croazia,Croatia
22,Filippine,Philippines
23,Perù,Peru
24,Repubblica Ceca,Czech Republic
26,Serbia,Serbia
27,"USA","USA"
28,Svezia,Sweden
29,Belgio,Belgium
30,Messico,Mexico
31,Portogallo,Portugal
32,Taiwan,Taiwan
33,Indonesia,Indonesia
34,Kenya,Kenya
35,Estonia,Estonia
37,Colombia,Colombia
38,Olanda,Netherland
39,Tanzania,Tanzania
40,Thailandia,Thailand
41,Corea,Korea
42,Celso A. Fretes Ramìrez,Celso A. Fretes Ramìrez
43,Hong Kong,Hong Kong
44,Webinar,Webinar
45,Egitto,Egypt
46,Vietnam,Vietnam
47,Tunisia,Tunisia
48,Emirati Arabi Uniti,United Arab Emirates
49,Malesia,Malaysia
50,Sud Africa,South Africa
51,Slovenia,Slovenia
52,Australia,Australia
